2018Rank,City,State,2018Estimate,2010Census,Change,2016LandAreaMi,2016LandAreaKm,2016PopulationDensityMi,2016PopulationDensityKm,latitude,longitude,FIPS Code,summary
11,Austin,Texas,964254,790390,+22.00%,312.7 sq mi,809.9 km2,3031/sq mi,1170/km2,301814,974516,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US4805000,"Austin City Limits and C3 Presents produce the Austin City Limits Music Festival, an annual music and art festival held at Zilker Park in Austin.For the 2018 Austin City Limits Music Festival, the city of Austin offered a designated parking area for dockless bikes and scooters.Austin is known as the most bike-friendly city in Texas, and was ranked the #7 city in the US by Bicycling Magazine in 2016.Austin Executive Airport serves the general aviation coming into the city, as well as other smaller airports outside of the city center.The city briefly banned the scooters - which were operating without a permit - until the city unveiled their ""dockless mobility"" permitting process on May 1, 2018.It is the 11th-most populous city in the United States and the 4th-most populous city in Texas.The city is also home to the Ballet East Dance Company, a modern dance ensemble, and the Tapestry Dance Company which performs a variety of dance genres."
12,Jacksonville,Florida,903889,821784,+9.99%,747.4 sq mi,1935.8 km2,1178/sq mi,455/km2,302013,813942,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US1235000," Jacksonville is the most populous city in Florida, the most populous city in the southeastern United States and the largest city by area in the contiguous United States.According to Article 21 of the Jacksonville City Charter, JEA is authorized to own, manage and operate a utilities system within and outside the City of Jacksonville.U.S. Highway 1 (US 1) and US 17 travel through the city from the south to the north, and US 23 enters the city running concurrently with US 1.Jacksonville is organized under the city charter and provides for a ""strong"" mayor–council form of city government.Austin oversaw the city's purchase and refurbishing of the St. James Building, which would eventually become Jacksonville's city hall.On October 1, 1968, the city and county governments merged to create the Consolidated City of Jacksonville.Jacksonville is also home of River City Pride which is Northeast Florida's largest Gay Pride parade."
13,Fort Worth,Texas,895008,741206,+20.75%,342.9 sq mi,888.1 km2,2491/sq mi,962/km2,324653,972048,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US4827000,"Excluded by state segregation from the business end of town and the more costly residential areas, the city's black citizens settled into the southern portion of the city.The day-to-day operations of city government are overseen by the city manager, who is also appointed by the council.It is the 13th-largest city in the United States and fifth-largest city in Texas.Fort Worth is home to these four airports within city limits: A 2011 study by Walk Score ranked Fort Worth 47th-most walkable of 50 largest U.S. cities.Fort Worth is the second-largest city in the Dallas–Fort Worth–Arlington metropolitan area, which is the 4th most populous metropolitan area in the United States.Originally named Amon Carter Field after one of the city's influential mayors, Greater Southwest opened in 1953 and operated as the primary airport for Fort Worth until 1974.[citation needed] Today, the city of Fort Worth and many residents are dealing with the benefits and issues associated with the natural gas reserves under ground."
14,Columbus,Ohio,892533,787033,+13.40%,218.5 sq mi,565.9 km2,3936/sq mi,1520/km2,395907,825905,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US3918000,"1 up-and-coming tech city in the nation by Forbes in 2008, and the city was ranked a top-ten city by Relocate America in 2010.The city's primary airport, John Glenn International Airport (CMH), is on the city's east side, with several smaller airports in the region as well.In 2012, Forbes Magazine ranked the city as the best city for working moms.In 1894, James Thurber, who would go on to an illustrious literary career in Paris and New York City, was born in the city.To protect the city's tax base from this suburbanization, Columbus adopted a policy of linking sewer and water hookups to annexation to the city.The area's second largest school district is South-Western City Schools, which encompasses southwestern Franklin County.By the early 1990s, Columbus had grown to become Ohio's largest city in land area and in population."
15,San Francisco,California,883305,805235,+9.70%,46.9 sq mi,121.5 km2,18569/sq mi,7170/km2,374338,1230156,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US0667000,"The top employer in the city is the city government itself, employing 5.6% (31,000+ people) of the city's workforce, followed by UCSF with over 25,000 employees.The Tenderloin District is home to a large portion of the city's Vietnamese population as well as businesses and restaurants, which is known as the city's Little Saigon.The Tenderloin area has the highest crime rate in San Francisco: 70% of the city's violent crimes, and around one-fourth of the city's murders, occur in this neighborhood.San Francisco's status as the West Coast's largest city peaked between 1870 and 1900, when around 25% of California's population resided in the city proper.The city is believed to have the highest number of homeless inhabitants per capita of any major U.S. city.Tourism is one of the city's largest private-sector industries, accounting for more than one out of seven jobs in the city.The largest and best-known city park is Golden Gate Park, which stretches from the center of the city west to the Pacific Ocean."
16,Charlotte,North Carolina,872498,731424,+19.29%,305.4 sq mi,791.0 km2,2757/sq mi,1064/km2,351228,804952,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US3712000,"Charlotte was listed as the 20th largest city in the US, and the 60th fastest growing city in the US between 2000 and 2008.The city's public school system, Charlotte-Mecklenburg Schools, is the 2nd largest in North Carolina and 17th largest in the nation.Many students, researchers, and affiliated professionals live near UNC Charlotte in the northeast area known as University City.According to the Congressional Quarterly Press; '2008 City Crime Rankings: Crime in Metropolitan America,' Charlotte, North Carolina ranks as the 62nd most dangerous city larger than 75,000 inhabitants.It is located in University City, the northeastern portion of Charlotte, which is also home to University Research Park, a 3,200 acres (13 km2) research and corporate park.Measured by control of assets, Charlotte became the second largest banking headquarters in the United States, after New York City.In the 1920 census, Charlotte lost its title as the state's largest city to Winston-Salem, which with a population of 48,395 had 2,077 more people than Charlotte."
17,Indianapolis,Indiana,867125,820445,+5.69%,361.5 sq mi,936.3 km2,2366/sq mi,914/km2,394636,860845,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US1836003,"Samuel Henderson, the city's first mayor, led the new city government, which included a seven-member city council.Founded in 1821 as the city's public market, the Indianapolis City Market has served the community from its current building since 1886.Three intercity bus service providers stop in the city: Greyhound Lines and Burlington Trailways (via Union Station), and Megabus (via City Market).As consumer habits evolved and residents moved from the central city, the City Market transitioned from a traditional marketplace to a food court, a function it retains today.In 1853, voters approved a new city charter that provided for an elected mayor and a fourteen-member city council.The city's balance excludes the populations of ten semi-autonomous municipalities that are included in totals for the consolidated city.The U.S. Census Bureau considers Indianapolis as two entities: the consolidated city and the city's remainder, or balance."
18,Seattle,Washington,744955,608660,+22.39%,83.8 sq mi,217.0 km2,8405/sq mi,3245/km2,473714,1222103,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US5363000,"In July 2017, the Seattle City Council unanimously approved an income tax on Seattle residents, making the city the only one in the state with an income tax.By comparison, Fort Myers, Florida, reports thunder on 93 days per year, Kansas City on 52, and New York City on 25.Although the Seattle Fault passes just south of the city center, neither it nor the Cascadia subduction zone has caused an earthquake since the city's founding.Conversely, the city receives some of the lowest precipitation amounts of any large city from June to September.The SuperSonics relocated to Oklahoma City and became the Oklahoma City Thunder for the 2008–09 season.The city's chief harbor, Elliott Bay, is part of Puget Sound, which makes the city an oceanic port.With work projects close to the city, Hooverville grew and the WPA settled into the city."
19,Denver,Colorado,716492,600158,+19.38%,153.3 sq mi,397.0 km2,4521/sq mi,1746/km2,394543,1045252,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US0820000,"Denver is the most populous city within a 500-mile (800 km) radius and the second-most populous city in the Mountain West after Phoenix, Arizona.In the early days of the city, gold and silver booms and busts played a large role in the city's economic success.Reinhard Schuetze was the city's first landscape architect, and he brought his German-educated landscaping genius to Washington Park, Cheesman Park, and City Park among others.As of the 2010 census, the population of the City and County of Denver was 600,158, making it the 24th most populous U.S. city.Denver is the most populous city within a radius centered in the city and of 550-mile (890 km) magnitude.The young city grew during these years, attracting millionaires with their mansions, as well as the poverty and crime of a rapidly growing city.As of January 2013, the City and County of Denver has defined 78 official neighborhoods that the city and community groups use for planning and administration."
20,Washington D.C.,District of Columbia,702455,601723,+16.74%,61.1 sq mi,158.2 km2,11148/sq mi,4304/km2,385415,770102,,"The city's first motorized streetcars began service in 1888 and generated growth in areas of the District beyond the City of Washington's original boundaries.Washington was the first city in the nation to undergo urban renewal projects as part of the ""City Beautiful movement"" in the early 1900s.The creek also formed a portion of the now-filled Washington City Canal, which allowed passage through the city to the Anacostia River from 1815 until the 1850s.Paris and Rome are each formally recognized as a partner city due to their special one sister city policy.World War II further increased government activity, adding to the number of federal employees in the capital; by 1950, the District's population reached its peak of 802,178 residents.Each of the city's eight wards elects a single member of the council and residents elect four at-large members to represent the District as a whole.The Washington Metropolitan Area, which includes the District and surrounding suburbs, is the sixth-largest metropolitan area in the United States with an estimated 6 million residents in 2014."
21,Boston,Massachusetts,694583,617594,+12.47%,48.3 sq mi,125.1 km2,13938/sq mi,5381/km2,421955,710113,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US2507000,"In 2000, non-Hispanic whites made up 49.5% of the city's population, making the city majority minority for the first time.At the time Boston was chartered as a city, the population was about 46,226, while the area of the city was only 4.7 square miles (12 km2).The city proper covers 48 square miles (124 km2) with an estimated population of 694,583 in 2018, making it also the most populous city in New England.The city is a center for contemporary classical music with a number of performing groups, several of which are associated with the city's conservatories and universities.Boston is sometimes called a ""city of neighborhoods"" because of the profusion of diverse subsections; the city government's Office of Neighborhood Services has officially designated 23 neighborhoods.Manufacturing became an important component of the city's economy, and the city's industrial manufacturing overtook international trade in economic importance by the mid-19th century.Snowfall increases dramatically as one goes inland away from the city (especially north and west of the city)—away from the moderating influence of the ocean."
22,El Paso,Texas,682669,649121,+5.17%,256.8 sq mi,665.1 km2,2660/sq mi,1030/km2,315054,1062537,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US4824000,"In 1977, El Paso City Lines and two other bus companies were bought by the municipality and merged to form Sun City Area Transit (SCAT).El Paso was the largest city in the United States without a PBS television station within the city limits until 1978.It is the third largest area of the city, behind east El Paso and central El Paso.It is considered a small range (23 miles long, 3 miles (4.8 km) wide) that extends from city north into New Mexico.El Paso City and County vote overwhelmingly Democratic, like most of the Texas–Mexico border area and urban Texas.According to the United States Census Bureau, the city has a total area of 256.3 square miles (663.7 km2).Some people in this area and its twin city across the river, Ciudad Juárez, are direct descendants of the Spaniards."
23,Detroit,Michigan,672662,713777,−5.76%,138.8 sq mi,359.5 km2,4847/sq mi,1871/km2,422259,830608,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US2622000,"As of 2013[update] there are four Catholic grade schools and three Catholic high schools in the City of Detroit, with all of them in the city's west side.Young was criticized for being too focused on downtown development and not doing enough to lower the city's high crime rate and improve city services.One of the largest post-bankruptcy efforts to improve city services has been work to fix the city's broken street lighting system.The city has numerous neighborhoods consisting of vacant properties resulting in low inhabited density in those areas, stretching city services and infrastructure.At its peak population of 1,849,568, in the 1950 Census, the city was the 5th-largest in the United States, after New York City, Chicago, Philadelphia and Los Angeles.To counteract this, the city used eminent domain to build two large new auto assembly plants in the city.Young also gave city support to other large developments to attract middle and upper-class residents back to the city."
24,Nashville,Tennessee,669053,601222,+11.28%,475.9 sq mi,1232.6 km2,1388/sq mi,536/km2,361018,864706,,"According to the city's 2016 Comprehensive Annual Financial Report, the top employers in the city are: Much of the city's cultural life has revolved around its large university community.Circa 1950 the state legislature approved a new city charter that provided for the election of city council members from single-member districts, rather than at-large voting.In May 2018, AllianceBernstein pledged to build a private client office in the city by mid-2019 and to move its headquarters from New York City to Nashville by 2024.Thanks in part to Nashville's foodie culture, the city was ranked as the 13th ""snobbiest"" city in America according to Travel + Leisure magazine.The city is served by Nashville International Airport (BNA), and is a focus city for Southwest Airlines and was a hub for American Airlines between 1986 and 1995.Pockets of Republican influence exist in the wealthier portions of the city, but they are usually no match for the overwhelming Democratic trend in the rest of the city.Interstate 840 provides a southern Bypass for the city, and a Bypass for I-40 for the city and its suburbs."
25,Portland,Oregon,653115,583776,+11.88%,133.5 sq mi,345.8 km2,4793/sq mi,1851/km2,453213,1223900,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US4159000,"Portland has the most breweries and independent microbreweries of any city in the world, with 58 active breweries within city limits and 70+ within the surrounding metro area.Downtown Portland straddles the banks of the Willamette River, which flows north through the city center and separates the city's east and west neighborhoods.The city became a pioneer of state-directed metropolitan planning, a program which was instituted statewide in 1969 to compact the urban growth boundaries of the city.The city receives frequent acclaim as the best beer city in the United States and is consistently ranked as one of the top-five beer destinations in the world.The Willamette River divides the city into east and west while Burnside Street, which traverses the entire city lengthwise, divides the north and south.The city's Community & Civic Life (formerly Office of Neighborhood Involvement) serves as a conduit between city government and Portland's 95 officially recognized neighborhoods.General John DeWitt called the city the first ""Jap free city on the West Coast."""
26,Memphis,Tennessee,650618,646889,+0.58%,317.4 sq mi,822.1 km2,2056/sq mi,794/km2,350610,895839,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US4748000,"Beginning in 1963, Memphis adopted a mayor-council form of government, with 13 City Council members, six elected at-large from throughout the city and seven elected from geographic districts.Memphis barbecue has achieved international prominence, and the city hosts the World Championship Barbecue Cooking Contest, which attracts over 100,000 visitors to the city annually.The city had authority for this action under Tennessee state laws that differentiate between city and county powers.None had the means to flee the city, as did the middle and upper class whites of Memphis, and thus they were subjected to a city of death.By the early 20th century, Memphis had two major passenger railroad stations, which made the city a regional hub for trains coming from the north, east, south and west.The total metropolitan area has a higher proportion of whites and a higher per capita income than the population in the city.Located in the low-lying delta region along the river, its outlying areas were developed as cotton plantations, and the city became a major cotton market and brokerage center."
27,Oklahoma City,Oklahoma,649021,579999,+11.90%,606.3 sq mi,1570.3 km2,1053/sq mi,407/km2,352802,973049,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US4055000,"Oklahoma City is the principal city of the eight-county Oklahoma City Metropolitan Statistical Area in Central Oklahoma and is the state's largest urbanized area.The Oklahoma City metropolitan area is one of the most tornado-prone major cities in the world, with about 150 tornadoes striking within the city limits since 1890.The City of Oklahoma City has operated under a council-manager form of city government since 1927.With the 1928 discovery of oil within the city limits (including under the State Capitol), Oklahoma City became a major center of oil production.Oklahoma City also has several major national and state highways within its city limits.Oklahoma City is home to the state's largest school district, Oklahoma City Public Schools.The Thunder play home games at the Chesapeake Energy Arena in downtown Oklahoma City, known affectionately in the national media as 'the Peake' and 'Loud City'."
28,Las Vegas,Nevada,644644,583756,+10.43%,134.4 sq mi,348.1 km2,4709/sq mi,1818/km2,361345,1151536,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US3240000,"As with most major metropolitan areas, the name of the primary city (""Las Vegas"" in this case) is often used to describe areas beyond official city limits.The city anchors the Las Vegas Valley metropolitan area and is the largest city within the greater Mojave Desert.In 2016, 77.1 percent of working Las Vegas residents (those living in the city, but not necessarily working in the city) commuted by driving alone.The City Manager is responsible for the administration and the day-to-day operations of all municipal services and city departments.US 95 connects the city to northwestern Nevada, including Carson City and Reno.The mountains immediately surrounding the Las Vegas Valley accumulate snow every winter, but significant accumulation within the city is rare, although moderate accumulations do occur every few years.During this time the city was nicknamed the ""Atomic City""."
29,Louisville,Kentucky,620118,597337,+3.81%,263.5 sq mi,682.5 km2,2339/sq mi,903/km2,380955,853851,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US2148006,"In its first season, Louisville City was the official reserve side for Orlando City SC while making its debut in Major League Soccer at the same time.Today the city is served by two major freight railroads, CSX (with a major classification yard in the southern part of the metro area) and Norfolk Southern.Due to the city-county merger that occurred in 2003, which expanded the city limits, the city's population increased to 597,337 at the 2010 census count. Louisville (/ˈluːəvəl/ (listen) LOO-ə-vəl, /ˈluːivɪl/ (listen) LOO-ee-vil, /ˈlʊvəl/ (listen) LUUV-əl) is the largest city in the Commonwealth of Kentucky and the 29th most-populous city in the United States.Multiple art galleries are located in the city, but they are especially concentrated in the East Market District (NuLu), immediately to the east of downtown.The city is also a major center of the American whiskey industry, with about one-third of all bourbon coming from Louisville.A free TARC bus takes art lovers to many downtown area (especially East Market District/NuLu) independent art galleries on the first Friday of every month."
30,Baltimore,Maryland,602495,620961,−2.97%,80.9 sq mi,209.5 km2,7598/sq mi,2934/km2,391800,763638,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US2404000,"The city is also located on the fall line between the Piedmont Plateau and the Atlantic coastal plain, which divides Baltimore into ""lower city"" and ""upper city"".In 2011, the city undertook a campaign to reconstruct many sidewalk ramps in the city, coinciding with mass resurfacing of the city's streets.Baltimore City College (also known as ""City"") and Baltimore Polytechnic Institute (also known as ""Poly"") share the nation's second-oldest high school football rivalry.The city grew in area by annexing new suburbs from the surrounding counties through 1918, when the city acquired portions of Baltimore County and Anne Arundel County.Nearly one third of the city's buildings (over 65,000) are designated as historic in the National Register, which is more than any other U.S. city.The city remained a part of surrounding Baltimore County and continued to serve as its county seat from 1768 to 1851, after which it became an independent city.Campus and building security for the city's public schools is provided by the Baltimore City Public Schools Police, established in the 1970s."
31,Milwaukee,Wisconsin,592025,594833,−0.47%,96.2 sq mi,249.2 km2,6186/sq mi,2388/km2,430348,875800,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US5553000,"Because many of the city's buildings were built using this material it earned the nickname ""Cream City"", and consequently the brick was called Cream City brick.The city had previously established free wireless networks in two downtown city parks: Cathedral Square; and Pere Marquette Park.As part of the city's Bicycle and Pedestrian Task Force's mission to ""make Milwaukee more bicycle and pedestrian friendly"", over 700 bike racks have been installed throughout the city. Milwaukee (/mɪlˈwɔːki/, locally /mɪˈ-/) is the largest city in the state of Wisconsin and the fifth-largest city in the Midwestern United States.Responding to this problem, in 2009 the city became an ""Innovating City"" in the Global Compact Cities Program.Milwaukee's founding fathers had a vision for the city: they knew it was perfectly situated as a port city, a center for collecting and distributing produce.Since Polish-American immigrants to the area prized land ownership, this solution, which was prominent in their areas of settlement within the city, came to be associated with them."
32,Albuquerque,New Mexico,560218,545852,+2.63%,188.2 sq mi,487.4 km2,2972/sq mi,1147/km2,350620,1063851,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US3502000,"It is unclear at this time whether the Santolina development will be annexed into the City of Albuquerque or incorporated into its own city when its development does occur.The city proper is bordered on the north by the North Valley, the village of Corrales, and the city of Rio Rancho.:177–181 Today, Alvarado Station provides convenient access to other parts of the city via the city bus system, ABQ RIDE.:VII The Albuquerque City Council is the legislative authority of the city, and has the power to adopt all ordinances, resolutions, or other legislation.Trash and recycling in the city is managed by the City of Albuquerque Solid Waste Management Department.The city is served by one major newspaper, the Albuquerque Journal, and several smaller daily and weekly papers, including the alternative Weekly Alibi.Newer suburban subdivisions on the West Mesa near the southwestern city limits join homes of older construction, some dating back as far as the 1940s."
